arm,group,fold,seed,split_seed,inner_fold,val_positive_events,val_pr_auc,val_ece,val_brier,n_features,n_nan_cells,feat_seconds,missing_policy,slope_time
A4_nan_index,encoding,3,42,7,0,2,0.1834086799771316,0.023021188410308237,0.02168962845478425,95,1439430,2.238,nan,index
A4_nan_index,encoding,3,43,7,0,2,0.19009885215672193,0.023694219806496393,0.022224675116598747,95,1439430,2.238,nan,index
A4_nan_index,encoding,4,42,7,1,1,0.1241741522904877,0.010732216037916676,0.01053919248323679,95,1439430,2.238,nan,index
A4_nan_index,encoding,4,43,7,1,1,0.13304140109179827,0.010060089246425104,0.010531784283757454,95,1439430,2.238,nan,index
A4_nan_index,encoding,5,42,7,2,3,0.5401247419064322,0.037629013159580706,0.03697404295339155,95,1439430,2.238,nan,index
A4_nan_index,encoding,5,43,7,2,3,0.5470173279773802,0.03729020556047988,0.03688639158697833,95,1439430,2.238,nan,index
A4_nan_index,encoding,6,42,2024,0,5,0.2240959794333801,0.07603305395087526,0.07641836770833606,95,1439430,2.238,nan,index
A4_nan_index,encoding,6,43,2024,0,5,0.2185568567803828,0.07505888727970855,0.0760047643651913,95,1439430,2.238,nan,index
A4_nan_index,encoding,7,42,2024,1,1,0.014189336114166331,0.03156574831078549,0.022031836889558065,95,1439430,2.238,nan,index
A4_nan_index,encoding,7,43,2024,1,1,0.014745038633982523,0.031205187535100286,0.022127656270949547,95,1439430,2.238,nan,index
A4_nan_index,encoding,8,42,2024,2,1,0.0010384215991692627,0.0021713760905266825,0.0003343965565992542,95,1439430,2.238,nan,index
A4_nan_index,encoding,8,43,2024,2,1,0.001218026796589525,0.0017141640701549112,0.00026274270846870606,95,1439430,2.238,nan,index
C1_scale_full_only,scales,0,42,42,0,1,0.0002577984016499098,0.010324842555239154,0.00557133000694585,35,441528,1.753,nan,index
C1_scale_full_only,scales,0,43,42,0,1,0.00027925160569673273,0.009820741654988245,0.004872065752086105,35,441528,1.753,nan,index
C1_scale_full_only,scales,1,42,42,1,3,0.7825311788943132,0.04789441693885844,0.04679153670214463,35,441528,1.753,nan,index
C1_scale_full_only,scales,1,43,42,1,3,0.7936595649728092,0.04796909255039362,0.046749572355703456,35,441528,1.753,nan,index
C1_scale_full_only,scales,2,42,42,2,5,0.09309389104872481,0.058135960647419195,0.057076128370146494,35,441528,1.753,nan,index
C1_scale_full_only,scales,2,43,42,2,5,0.09401916377736158,0.058524936657592806,0.057351797640092024,35,441528,1.753,nan,index
C1_scale_full_only,scales,3,42,7,0,2,0.2805018029449306,0.013400082866052624,0.0094550077586486,35,441528,1.753,nan,index
C1_scale_full_only,scales,3,43,7,0,2,0.22693439766121765,0.013900370729256291,0.010182385055658676,35,441528,1.753,nan,index
C1_scale_full_only,scales,4,42,7,1,1,0.11775532054525023,0.013038743682222884,0.012078186872697539,35,441528,1.753,nan,index
C1_scale_full_only,scales,4,43,7,1,1,0.13093038139578622,0.013266606710968055,0.012167579627279055,35,441528,1.753,nan,index
C1_scale_full_only,scales,5,42,7,2,3,0.5369438112647865,0.03504262642294227,0.03558346095854628,35,441528,1.753,nan,index
C1_scale_full_only,scales,5,43,7,2,3,0.5292636359578613,0.034729550927360076,0.0356847460605365,35,441528,1.753,nan,index
C1_scale_full_only,scales,6,42,2024,0,5,0.19034389846492814,0.0825263143963754,0.08015566896451329,35,441528,1.753,nan,index
C1_scale_full_only,scales,6,43,2024,0,5,0.18917742987547384,0.08453917752186839,0.08049345533415497,35,441528,1.753,nan,index
C1_scale_full_only,scales,7,42,2024,1,1,0.009429443640257395,0.02567666599466396,0.017528376749535977,35,441528,1.753,nan,index
C1_scale_full_only,scales,7,43,2024,1,1,0.009790395567157235,0.028183203430055037,0.0186511985468874,35,441528,1.753,nan,index
C1_scale_full_only,scales,8,42,2024,2,1,0.0009389671361502347,0.0010298927640306301,0.00019760527432292153,35,441528,1.753,nan,index
C1_scale_full_only,scales,8,43,2024,2,1,0.0007032348804500703,0.0008165140828067077,0.00017576744732072347,35,441528,1.753,nan,index
C2_scale_full_half,scales,0,42,42,0,1,0.000279876854184159,0.017828373978270935,0.010613081428414956,65,921108,2.271,nan,index
C2_scale_full_half,scales,0,43,42,0,1,0.00025680534155110427,0.01597083214820126,0.009146138800571042,65,921108,2.271,nan,index
